time,accX,accY,accZ,ang_velX,ang_velY,ang_velZ
0,-1.0177001953125,0.1072998046875,0.021484375,15.19775390625,-2.86865234375,-2.25830078125
111,-1.0191650390625,0.1058349609375,0.0240478515625,17.88330078125,-4.45556640625,-2.25830078125
225,-1.0177001953125,0.0916748046875,0.0302734375,16.11328125,-2.44140625,-2.685546875
337,-1.0140380859375,0.124755859375,0.0123291015625,13.36669921875,-2.86865234375,-2.5634765625
447,-1.0032958984375,0.1268310546875,0.0048828125,10.80322265625,-2.13623046875,-2.3193359375
559,-1.0106201171875,0.14013671875,-0.00341796875,6.40869140625,-0.48828125,-2.13623046875
673,-1.0118408203125,0.1136474609375,0.03564453125,-6.89697265625,-0.79345703125,1.03759765625
789,-1.0283203125,0.1414794921875,-0.04150390625,-23.5595703125,-8.48388671875,2.25830078125
899,-1.011962890625,0.108154296875,-0.045166015625,-10.986328125,-11.90185546875,-0.67138671875
1008,-1.01171875,0.1512451171875,0.0457763671875,-25.0244140625,-49.072265625,6.34765625
1123,-1.3900146484375,0.0423583984375,0.240966796875,61.09619140625,-91.73583984375,30.3955078125
1235,-0.88134765625,0.2022705078125,0.4764404296875,19.71435546875,51.26953125,5.2490234375
1404,-1.1732177734375,0.142333984375,-0.1273193359375,-24.4140625,142.08984375,-29.60205078125
1516,-1.0670166015625,-0.0167236328125,-0.4510498046875,-59.02099609375,98.14453125,-18.06640625
1629,-1.075439453125,0.5396728515625,-0.2237548828125,-43.51806640625,-49.4384765625,34.97314453125
1741,-0.9810791015625,0.2725830078125,0.0765380859375,12.451171875,-57.12890625,46.81396484375
1854,-1.0140380859375,-0.012451171875,0.215576171875,28.80859375,-36.19384765625,18.24951171875
1968,-0.95654296875,-0.1263427734375,0.14453125,11.474609375,-67.3828125,15.869140625
2080,-1.0931396484375,-0.0550537109375,-0.08203125,17.76123046875,-86.73095703125,23.13232421875
2192,-1.2222900390625,0.1217041015625,-0.286865234375,36.62109375,-128.41796875,20.81298828125
2360,-2.5540771484375,0.192626953125,-0.383544921875,-73.1201171875,-194.03076171875,72.3876953125
