time,accX,accY,accZ,ang_velX,ang_velY,ang_velZ
0,-1.01806640625,-0.025146484375,0.02685546875,-4.150390625,-4.8828125,-8.544921875
228,-1.0211181640625,0.0291748046875,-0.0380859375,2.99072265625,-19.95849609375,-17.63916015625
334,-0.989013671875,0.1480712890625,0.0045166015625,16.17431640625,-72.265625,-12.8173828125
444,-1.2178955078125,0.0213623046875,-0.4512939453125,-14.2822265625,-49.49951171875,-0.06103515625
556,-0.6075439453125,0.130126953125,-0.046630859375,-25.81787109375,27.2216796875,-8.97216796875
669,-0.8824462890625,0.2144775390625,-0.0775146484375,109.31396484375,104.98046875,-32.04345703125
778,-1.0018310546875,-0.0478515625,-0.4573974609375,30.94482421875,90.63720703125,-35.400390625
898,-0.8333740234375,0.3863525390625,-0.0537109375,-32.40966796875,-3.173828125,-24.4140625
1010,-0.983154296875,0.322998046875,0.1611328125,-18.06640625,2.50244140625,11.16943359375
1118,-1.0858154296875,0.230224609375,0.1904296875,-29.35791015625,-9.3994140625,-0.6103515625
1235,-1.0880126953125,-0.3809814453125,0.25537109375,-142.76123046875,-19.59228515625,26.3671875
1339,-0.768798828125,1.3524169921875,-0.3211669921875,-270.81298828125,1.52587890625,17.08984375
1459,-1.150146484375,0.2598876953125,-0.441162109375,5.18798828125,2.5634765625,15.93017578125
1569,-1.0433349609375,0.0982666015625,-0.1300048828125,-17.2119140625,-9.8876953125,4.45556640625
1962,-1.4339599609375,0.6416015625,0.1865234375,5.859375,-131.65283203125,-59.02099609375
2136,-0.94384765625,0.0081787109375,0.299072265625,-104.8583984375,-13.12255859375,27.83203125
2244,-0.8319091796875,0.0855712890625,0.0152587890625,-75.8056640625,221.25244140625,-28.13720703125
2356,-2.0853271484375,0.248779296875,-0.411865234375,-31.982421875,312.1337890625,-96.98486328125
2469,-0.5421142578125,-0.591796875,-2.2252197265625,-127.3193359375,53.466796875,11.90185546875
2582,-1.9114990234375,0.6434326171875,0.0322265625,-17.08984375,-80.62744140625,41.9921875
2694,-0.845703125,-0.1053466796875,0.14013671875,66.10107421875,-42.78564453125,38.87939453125
2809,-1.0948486328125,0.137939453125,0.0015869140625,-0.54931640625,-83.43505859375,13.97705078125
2921,-0.98828125,-0.01806640625,-0.160888671875,32.28759765625,-102.35595703125,24.23095703125
3035,-1.4327392578125,0.327392578125,-0.12353515625,24.658203125,-163.87939453125,17.63916015625
