time,accX,accY,accZ,ang_velX,ang_velY,ang_velZ
0,-1.01611328125,-0.1007080078125,-0.0643310546875,0.67138671875,-0.79345703125,-0.1220703125
112,-1.020263671875,-0.1004638671875,-0.061767578125,0.67138671875,-0.6103515625,0.1220703125
280,-1.017578125,-0.10302734375,-0.0596923828125,1.3427734375,-0.1220703125,-0.18310546875
456,-1.0179443359375,-0.1024169921875,-0.0576171875,1.03759765625,-0.732421875,-0.18310546875
562,-1.0184326171875,-0.100830078125,-0.0606689453125,1.03759765625,-0.8544921875,-0.3662109375
670,-1.0194091796875,-0.101806640625,-0.0599365234375,1.40380859375,-0.67138671875,-0.67138671875
789,-1.018798828125,-0.0999755859375,-0.0577392578125,1.953125,-0.732421875,-0.54931640625
905,-1.0196533203125,-0.0977783203125,-0.0584716796875,2.01416015625,-0.9765625,-0.48828125
1012,-1.0224609375,-0.07666015625,0.0078125,-3.11279296875,7.99560546875,-2.13623046875
1121,-1.0284423828125,-0.0982666015625,-0.0306396484375,-3.41796875,-2.44140625,-0.79345703125
1234,-1.0140380859375,-0.0938720703125,-0.0101318359375,1.46484375,-8.1787109375,-1.64794921875
1346,-1.0159912109375,-0.0693359375,-0.034423828125,1.40380859375,-25.2685546875,-2.44140625
1464,-1.0318603515625,-0.05517578125,-0.1435546875,4.5166015625,-22.216796875,-2.13623046875
1581,-0.993408203125,-0.0784912109375,-0.2200927734375,0.6103515625,-6.591796875,-1.77001953125
1685,-0.990234375,-0.06396484375,-0.1829833984375,1.8310546875,2.25830078125,-2.01416015625
1805,-1.0284423828125,-0.0560302734375,-0.156494140625,8.4228515625,2.62451171875,-0.79345703125
1913,-0.988525390625,-0.06201171875,-0.169189453125,-0.8544921875,-1.46484375,-0.06103515625
2026,-1.0101318359375,-0.0943603515625,-0.1502685546875,0.0,1.953125,0.06103515625
2135,-1.01171875,-0.0562744140625,-0.1610107421875,12.939453125,7.080078125,1.40380859375
2247,-1.0198974609375,-0.057373046875,-0.1497802734375,6.34765625,7.62939453125,1.40380859375
2364,-1.0223388671875,-0.0699462890625,-0.103759765625,0.8544921875,5.92041015625,2.8076171875
2587,-1.01123046875,-0.08984375,-0.1107177734375,-0.79345703125,0.79345703125,5.4931640625
2700,-1.011474609375,-0.1036376953125,-0.1004638671875,-2.8076171875,-0.1220703125,6.28662109375
2815,-1.015869140625,-0.10791015625,-0.105224609375,-1.708984375,-0.18310546875,7.080078125
2925,-1.0018310546875,-0.1448974609375,-0.10791015625,-2.685546875,-0.42724609375,9.09423828125
3093,-0.99951171875,-0.1812744140625,-0.1044921875,5.9814453125,-0.79345703125,8.7890625
3318,-1.005615234375,-0.2105712890625,-0.10107421875,1.03759765625,-0.8544921875,6.77490234375
3432,-0.9967041015625,-0.2139892578125,-0.107421875,0.30517578125,-0.48828125,6.16455078125
3712,-1.0006103515625,-0.2308349609375,-0.098876953125,0.6103515625,-1.5869140625,3.2958984375
3829,-0.993896484375,-0.24609375,-0.1068115234375,0.6103515625,-2.3193359375,2.9296875
3995,-0.9835205078125,-0.25927734375,-0.1143798828125,1.15966796875,-1.0986328125,1.89208984375
4105,-0.9888916015625,-0.2640380859375,-0.1087646484375,1.28173828125,0.8544921875,0.91552734375
4273,-0.9888916015625,-0.2550048828125,-0.104736328125,0.06103515625,1.3427734375,0.1220703125
4672,-0.9810791015625,-0.250732421875,-0.0716552734375,2.3193359375,0.18310546875,-1.28173828125
4781,-0.9893798828125,-0.2440185546875,-0.0728759765625,2.13623046875,-4.21142578125,-1.708984375
4896,-0.8663330078125,-0.3189697265625,-0.083251953125,-3.72314453125,0.9765625,-3.5400390625
5065,-1.00830078125,-0.2359619140625,-0.0548095703125,-7.50732421875,-16.11328125,0.6103515625
5228,-0.9852294921875,-0.3055419921875,-0.117919921875,11.90185546875,-22.03369140625,5.0048828125
5457,-1.1812744140625,-0.254150390625,-0.2398681640625,5.4931640625,-84.28955078125,9.70458984375
5573,-1.810791015625,-0.07568359375,0.382568359375,74.21875,-160.94970703125,53.77197265625
5740,-0.7322998046875,0.06201171875,0.042236328125,33.203125,218.56689453125,-27.83203125
5906,-2.557373046875,-0.545166015625,-1.6470947265625,-34.423828125,358.3984375,-78.30810546875
6023,-2.427734375,-1.1754150390625,-0.6661376953125,334.716796875,-121.03271484375,49.560546875
6185,-1.048583984375,-0.2510986328125,0.03173828125,36.07177734375,-33.75244140625,19.71435546875
6414,-1.1246337890625,-0.2510986328125,-0.16552734375,28.62548828125,-79.4677734375,19.71435546875
6694,-0.5103759765625,-0.1041259765625,0.1572265625,-9.70458984375,187.3779296875,-69.3359375
6809,-1.78857421875,-0.1131591796875,-0.1943359375,-45.95947265625,395.81298828125,-76.66015625
6924,-0.905029296875,-1.2071533203125,-3.1290283203125,-224.91455078125,140.7470703125,-18.12744140625
7033,-0.712646484375,-3.99951171875,-1.5120849609375,-347.65625,-130.615234375,53.64990234375
7196,-0.9947509765625,-0.3123779296875,-0.026123046875,54.443359375,-18.4326171875,19.6533203125
7484,-3.1165771484375,0.5057373046875,1.393310546875,245.05615234375,-169.37255859375,84.1064453125
7825,-2.60595703125,-0.8526611328125,-1.491943359375,1.8310546875,418.9453125,-84.5947265625
7933,-1.1484375,-0.513427734375,-1.642822265625,-72.509765625,-172.7294921875,92.46826171875
8046,-1.1646728515625,-0.74267578125,-0.318115234375,148.86474609375,-116.51611328125,60.60791015625
8210,-1.004150390625,-0.2908935546875,-0.1407470703125,20.81298828125,-43.0908203125,20.3857421875
8441,-1.9892578125,-0.4002685546875,0.7325439453125,365.1123046875,-137.39013671875,44.49462890625
8608,-0.545166015625,0.0450439453125,0.131103515625,-21.3623046875,208.251953125,-56.2744140625
8777,-2.7347412109375,-0.8365478515625,-1.66455078125,-25.93994140625,418.51806640625,-76.7822265625
8891,-1.5570068359375,0.149169921875,-0.261474609375,-25.390625,-187.1337890625,89.05029296875
9003,-1.217041015625,-0.81494140625,-0.236083984375,156.06689453125,-91.1865234375,58.04443359375
9120,-1.0184326171875,-0.296630859375,-0.053466796875,43.39599609375,-39.12353515625,15.2587890625
