time,accX,accY,accZ,ang_velX,ang_velY,ang_velZ
0,-0.9693603515625,0.31640625,0.0633544921875,1.46484375,-1.46484375,-0.6103515625
121,-0.9688720703125,0.32177734375,0.051025390625,0.54931640625,-1.52587890625,-1.708984375
223,-0.96240234375,0.3125,0.0521240234375,0.79345703125,-0.6103515625,-1.03759765625
335,-0.9727783203125,0.31201171875,0.0538330078125,2.62451171875,0.48828125,-1.708984375
447,-0.9595947265625,0.3165283203125,0.060791015625,1.5869140625,-0.30517578125,-0.3662109375
557,-0.969970703125,0.3177490234375,0.0667724609375,0.42724609375,-0.48828125,0.67138671875
675,-0.96484375,0.3077392578125,0.0615234375,1.708984375,-0.91552734375,1.52587890625
788,-0.977294921875,0.3150634765625,0.062744140625,2.50244140625,0.48828125,-0.1220703125
900,-0.964599609375,0.302978515625,0.0772705078125,2.197265625,-0.1220703125,-2.01416015625
1012,-0.951416015625,0.3153076171875,0.0687255859375,2.0751953125,-1.77001953125,-2.0751953125
1122,-0.91259765625,0.4012451171875,0.0556640625,-0.6103515625,-2.0751953125,1.708984375
1233,-0.989013671875,0.3331298828125,0.047119140625,-26.55029296875,-3.96728515625,7.62939453125
1346,-0.9716796875,0.30224609375,0.048583984375,-10.25390625,-2.44140625,1.220703125
1459,-1.044921875,0.3013916015625,0.1065673828125,10.31494140625,-4.33349609375,2.9296875
1572,-1.060791015625,0.5731201171875,-0.122802734375,31.67724609375,-14.09912109375,26.42822265625
1684,-0.974609375,0.3497314453125,-0.0595703125,223.14453125,14.22119140625,-25.5126953125
1798,-0.9188232421875,-0.3421630859375,-0.11279296875,194.15283203125,-15.5029296875,2.86865234375
1909,-1.14013671875,-0.0255126953125,-0.03369140625,-65.7958984375,-12.0849609375,27.7099609375
2025,-1.11083984375,0.013427734375,-0.0426025390625,10.92529296875,-21.17919921875,33.203125
2140,-0.9698486328125,-0.1075439453125,0.2474365234375,39.48974609375,-15.31982421875,10.986328125
2252,-1.006103515625,-0.1307373046875,0.13427734375,29.052734375,-37.78076171875,1.8310546875
2357,-0.99658203125,-0.118896484375,0.103271484375,1.52587890625,-60.05859375,19.59228515625
2473,-1.072265625,-0.116943359375,-0.018798828125,31.8603515625,-100.9521484375,30.029296875
2585,-1.5462646484375,0.435791015625,0.8939208984375,118.59130859375,-147.15576171875,52.6123046875
2759,-0.8837890625,-0.10498046875,0.4774169921875,-11.53564453125,68.2373046875,31.31103515625
2867,-0.9144287109375,0.378173828125,-0.2152099609375,-9.46044921875,272.5830078125,-93.1396484375
2984,-2.028076171875,-0.1455078125,-0.93603515625,-33.3251953125,296.56982421875,-96.923828125
3096,-0.6170654296875,-0.7103271484375,-2.18310546875,-116.0888671875,5.4931640625,21.1181640625
3314,-1.030517578125,-0.1944580078125,0.20849609375,1.15966796875,-60.24169921875,34.36279296875
3490,-1.0738525390625,-0.01953125,0.02880859375,24.90234375,-89.7216796875,21.17919921875
3658,-1.6806640625,0.6666259765625,0.3416748046875,3.47900390625,-159.72900390625,11.23046875
3826,-1.4447021484375,0.31396484375,0.5655517578125,-70.00732421875,-10.1318359375,27.77099609375
3989,-1.23095703125,0.14013671875,-0.23779296875,-35.58349609375,308.4716796875,-114.501953125
4107,-2.0511474609375,-0.5904541015625,-1.6602783203125,60.546875,284.60693359375,-58.04443359375
4218,-2.9486083984375,2.678466796875,3.99951171875,94.970703125,8.85009765625,43.212890625
4325,-1.1214599609375,-0.0408935546875,0.0911865234375,15.869140625,-61.03515625,54.38232421875
4442,-1.088134765625,-0.0267333984375,-0.076904296875,34.0576171875,-84.716796875,24.71923828125
4610,-1.12939453125,-0.076171875,-0.139404296875,55.7861328125,-128.173828125,23.3154296875
4782,-1.2822265625,-1.5338134765625,-0.625,83.251953125,-180.2978515625,62.98828125
4894,-0.6273193359375,0.2166748046875,0.080810546875,-84.89990234375,173.9501953125,-56.33544921875
5058,-1.43359375,0.110107421875,-0.1947021484375,-83.80126953125,293.701171875,-145.01953125
5176,-1.92822265625,-0.5501708984375,-1.216796875,32.2265625,263.3056640625,-48.583984375
5289,-1.85791015625,1.53759765625,2.87939453125,12.0849609375,-31.92138671875,50.4150390625
5400,-1.0299072265625,-0.096923828125,0.2586669921875,-0.67138671875,-60.9130859375,31.43310546875
5511,-0.8809814453125,-0.21435546875,0.255859375,7.38525390625,-73.73046875,19.47021484375
5626,-1.0423583984375,0.00244140625,0.0968017578125,36.2548828125,-92.8955078125,27.7099609375
5735,-1.3160400390625,0.2161865234375,-0.137939453125,40.95458984375,-164.97802734375,26.18408203125
5961,-0.7777099609375,-0.0325927734375,-0.262939453125,-85.99853515625,257.75146484375,-98.08349609375
6189,-2.0291748046875,-0.430419921875,-0.8802490234375,42.29736328125,299.6826171875,-100.28076171875
6299,-1.2327880859375,0.286376953125,1.826171875,-15.19775390625,-47.30224609375,59.2041015625
6412,-1.0283203125,-0.08154296875,-0.0379638671875,22.39990234375,-75.74462890625,51.26953125
6525,-1.0111083984375,-0.0135498046875,0.1064453125,14.09912109375,-39.97802734375,16.357421875
6749,-1.0994873046875,-0.1470947265625,-0.10107421875,59.814453125,-107.666015625,29.6630859375
6859,-1.760009765625,0.9149169921875,0.4378662109375,11.8408203125,-174.1943359375,15.7470703125
6976,-1.974365234375,0.3017578125,0.7261962890625,15.07568359375,-122.37548828125,61.21826171875
7201,-2.439697265625,-0.1151123046875,-0.758544921875,-23.49853515625,332.03125,-92.7734375
7309,-0.529052734375,-1.29443359375,-2.6478271484375,-98.388671875,20.99609375,23.92578125
7427,-1.4913330078125,-0.5833740234375,-0.1446533203125,116.943359375,-72.3876953125,74.3408203125
7592,-0.9635009765625,-0.0272216796875,0.2645263671875,23.13232421875,-67.7490234375,19.4091796875
7762,-1.1165771484375,-0.0166015625,0.019775390625,32.8369140625,-86.669921875,30.2734375
7873,-1.29052734375,0.124755859375,-0.2000732421875,53.466796875,-143.1884765625,22.39990234375
8042,-1.8695068359375,0.256591796875,0.5872802734375,42.78564453125,-128.35693359375,63.90380859375
8153,-0.887939453125,0.037109375,0.0025634765625,-23.74267578125,270.3857421875,-86.669921875
8268,-2.26953125,0.1263427734375,-0.7601318359375,-30.76171875,339.41650390625,-92.6513671875
8433,-2.2462158203125,1.4771728515625,2.5941162109375,31.92138671875,-17.08984375,52.1240234375
8550,-1.121337890625,0.0555419921875,0.16259765625,56.0302734375,-55.5419921875,48.76708984375
8662,-0.91455078125,-0.0902099609375,0.3228759765625,26.67236328125,-67.81005859375,16.05224609375
8827,-1.076416015625,0.0657958984375,-0.0841064453125,5.4931640625,-96.3134765625,22.39990234375
9001,-1.593994140625,-0.84326171875,0.9029541015625,162.2314453125,-172.36328125,60.36376953125
9113,-0.685546875,-0.8341064453125,-0.990234375,-64.39208984375,-18.12744140625,27.9541015625
9342,-2.102294921875,-0.0107421875,-0.9202880859375,-30.517578125,334.8388671875,-117.1875
9445,-0.7059326171875,-0.578857421875,-2.3203125,-96.00830078125,109.0087890625,9.94873046875
9567,-2.0985107421875,1.1617431640625,0.3966064453125,18.06640625,-82.763671875,50.72021484375
9672,-0.9288330078125,-0.063720703125,0.3056640625,24.4140625,-57.6171875,38.6962890625
9786,-0.971435546875,-0.088134765625,0.1949462890625,15.869140625,-69.9462890625,15.869140625
9901,-1.0869140625,0.0025634765625,-0.00341796875,43.88427734375,-106.75048828125,21.240234375
10012,-1.5113525390625,0.33447265625,-0.1148681640625,25.0244140625,-155.45654296875,15.13671875
10124,-1.345458984375,-1.18408203125,-0.927734375,11.77978515625,-199.40185546875,60.60791015625
10236,-1.14892578125,0.3946533203125,0.587158203125,-27.16064453125,26.42822265625,-10.43701171875
10349,-0.9122314453125,-0.1712646484375,-0.1239013671875,-94.482421875,276.79443359375,-88.9892578125
